Time (UTC),U [m/s],theta [deg],P [MW],Price [€/MWh]
47484,12.09,204.10001,923.70001,21.799999
47484.04167,14.39,223,1000,26.43
47484.08333,16.879999,223.89999,1000,26.1
47484.125,14.47,228.60001,1000,24.700001
47484.16667,15.68,234.5,1000,24.74
47484.20833,15.18,238.5,1000,18.01
47484.25,18.940001,249.89999,1000,10.18
47484.29167,18.16,258.29999,1000,17.799999
47484.33333,21.110001,266.60001,1000,19.76
47484.375,20.07,256.29999,1000,20.73
47484.41667,18.190001,246.3,1000,24.76
47484.45833,17.68,244.39999,1000,25.68
47484.5,16.77,241.10001,1000,16.559999
47484.54167,16.91,241.7,1000,13.21
47484.58333,15.77,246.5,1000,9.15
47484.625,14.23,246.7,1000,13.29
47484.66667,13.49,248.8,1000,27.030001
47484.70833,12.79,247.8,1000,27.43
47484.75,11.21,251.2,771.20001,27.290001
47484.79167,10.17,251.8,585,26.959999
47484.83333,9.4799995,249.10001,479.10001,26.700001
47484.875,9.3100004,250.7,447.89999,26.469999
47484.91667,9.5600004,256.39999,493.10001,26.09
47484.95833,9.3500004,269.5,452.20001,24.879999
47485,9.8900003,273.39999,521.40002,18.120001
47485.04167,9.54,266.20001,479.70001,14.99
47485.08333,11.61,272.39999,790.70001,17.790001
47485.125,9.3299999,274.89999,441.79999,24.51
47485.16667,9.2700005,271,435.79999,11.83
47485.20833,10.98,276.89999,688,14.55
47485.25,9.4300003,280.70001,458,22.58
47485.29167,9.46,294,407.89999,41.919998
47485.33333,9.3800001,284.5,433.39999,47.950001
47485.375,9.0500002,288.29999,356.70001,38.02
47485.41667,9.4899998,267.89999,474.79999,35.040001
47485.45833,11.17,260.89999,763.20001,35.220001
47485.5,11.83,259.89999,885.5,34.560001
47485.54167,9.6499996,261.5,500.60001,34.099998
47485.58333,10.4,258.60001,629.40002,35.98
47485.625,8.0100002,246.60001,307.39999,38.049999
47485.66667,9.3400002,231.5,507.29999,41.669998
47485.70833,11.1,222.89999,837.29999,42.389999
47485.75,12.28,213.89999,937.20001,45.060001
47485.79167,14.92,198.7,1000,41.080002
47485.83333,15.88,194.8,1000,34.939999
